tempo,swing,density,dynamic_range,energy,mean_note_length,std_note_length,velocity_mean,velocity_std,pitch_mean,pitch_range,avg_polyphony,syncopation,onset_entropy,instrument_count,mood,timing_feel,rhythmic_density,dynamic_intensity,fill_activity,fx_character,timestamp
210.0032,0.0207,17.8254,95.0000,7.4215,0.3713,0.3996,98.7429,33.8726,65.5612,84,5.4869,0.0156,0.2733,10,chill,1,3,0,6,0,2025-07-02T21:31:49.290920
165.0002,0.0017,6.3679,16.0000,3.3288,0.4945,0.5242,64.0136,0.4668,64.3952,57,2.3433,0.0301,0.5405,2,chill,1,2,0,6,0,2025-07-02T21:31:49.377377
140.0001,0.2353,3.1354,0.0000,2.2611,0.2098,0.0000,61.0000,0.0000,71.2558,10,0.5000,0.0222,1.4098,1,chill,2,1,0,2,0,2025-07-02T21:31:49.416413
120.0000,0.0321,3.3333,36.0000,3.3042,0.6906,0.5833,95.2000,12.2376,62.1250,43,1.9375,0.1771,1.1796,3,chill,1,1,0,6,0,2025-07-02T21:31:49.467911
132.4578,0.0063,7.8437,26.0000,3.7783,0.4327,0.4641,58.5753,6.9726,57.3087,55,3.3209,0.0188,0.8209,1,chill,1,2,0,6,0,2025-07-02T21:31:49.575461
118.1403,0.2131,10.5382,27.0000,4.2608,0.2390,0.2065,61.1213,6.8263,60.6716,60,1.7929,0.0095,1.1496,1,chill,1,3,0,6,0,2025-07-02T21:31:49.632829
120.0000,0.0218,6.4548,104.0000,4.5660,0.3328,0.3115,70.7091,14.7119,59.8413,60,2.3612,0.0415,1.3226,1,chill,1,2,0,6,0,2025-07-02T21:31:49.693531
85.0003,0.1210,12.1707,77.0000,5.5335,0.4944,0.3864,54.5846,17.6669,54.0383,41,6.3173,0.0256,0.9482,10,chill,2,3,0,6,0,2025-07-02T21:31:49.796199
104.0000,0.0034,26.5042,126.0000,9.6282,0.2919,0.3224,79.8716,32.9270,54.6828,45,8.2902,0.0067,0.6081,5,chill,0,3,0,6,0,2025-07-02T21:31:50.144476
173.0004,0.0379,24.3133,126.0000,8.9542,0.2737,0.3199,74.8082,39.4880,55.5371,56,6.3878,0.0077,0.8318,9,chill,1,3,0,6,0,2025-07-02T21:31:50.273556
120.9002,0.0069,24.8020,90.0000,8.9341,0.1869,0.5295,106.2346,29.4016,51.2110,69,5.8424,0.0047,0.7026,6,chill,0,3,0,6,0,2025-07-02T21:31:50.496419
98.3085,0.1352,30.9250,66.0000,9.8593,0.2447,0.2804,105.4125,14.4291,57.7037,53,5.4373,0.0038,0.6474,8,chill,1,3,0,6,0,2025-07-02T21:31:50.723409
60.0000,0.1120,11.4555,108.0000,6.2133,0.7163,0.6641,90.4360,23.0847,58.4661,55,6.1725,0.0242,0.1143,8,chill,2,3,0,6,0,2025-07-02T21:31:50.834955
165.3280,0.0738,9.6107,121.0000,5.5687,0.2068,0.3404,81.6746,20.8769,65.0283,75,2.2366,0.0382,0.0972,4,chill,1,2,0,6,0,2025-07-02T21:31:51.165800
80.5000,0.0433,19.2112,101.0000,7.9145,0.5311,0.6812,78.3339,14.9735,54.4523,64,10.1343,0.0152,0.5135,12,chill,1,3,0,6,0,2025-07-02T21:31:51.319487
72.3333,0.1414,20.6805,126.0000,8.6551,0.5472,1.2030,74.3692,23.3501,47.4453,67,12.1071,0.0082,0.0496,13,chill,1,3,0,6,0,2025-07-02T21:31:51.574024
71.2383,0.0367,42.2830,126.0000,13.4107,0.3665,0.9005,60.0926,37.8418,48.7711,63,17.3141,0.0033,0.3466,12,chill,1,3,0,6,0,2025-07-02T21:31:52.042329
120.0000,0.1288,5.9362,106.0000,4.1401,0.3240,0.3483,43.0349,20.1959,63.9928,57,2.3244,0.0314,0.6029,1,chill,2,2,0,6,0,2025-07-02T21:31:52.118487
120.0000,0.2086,1.9883,66.0000,3.3792,0.4883,0.4566,101.7638,15.3991,66.0472,19,0.5591,0.2917,1.2522,1,chill,2,0,0,3,0,2025-07-02T21:31:52.161241
107.9999,0.0512,20.3435,72.0000,7.5386,0.3230,0.5671,75.2954,22.7999,53.6908,66,7.6618,0.0120,0.6116,5,chill,1,3,0,6,0,2025-07-02T21:31:52.291436
140.0001,0.1387,12.1002,0.0000,4.6933,0.1763,0.3067,99.0000,0.0000,57.0723,38,1.6566,0.0040,1.4177,3,chill,1,3,0,6,0,2025-07-02T21:31:52.332796
131.0015,0.0112,22.9848,107.0000,8.6773,0.4031,0.4669,78.1323,16.8826,56.3034,60,8.9074,0.0090,0.7703,12,chill,0,3,0,6,0,2025-07-02T21:31:52.536001
135.0001,0.2286,8.6456,10.0000,3.5577,0.3945,0.2449,44.1870,3.3138,73.1382,55,3.2642,0.0334,1.1011,1,chill,2,2,0,6,0,2025-07-02T21:31:52.566877
69.0000,0.0226,24.6901,98.0000,8.5858,0.3648,0.5485,59.7598,23.1833,49.5102,57,7.6106,0.0051,0.7553,15,chill,0,3,0,6,0,2025-07-02T21:31:52.788864
135.0001,0.1233,13.5495,77.0000,6.3407,0.6036,0.7179,92.2873,11.3392,54.7848,55,7.0038,0.0252,0.6407,3,chill,2,3,0,6,0,2025-07-02T21:31:52.912012
61.9005,0.0194,33.6276,101.0000,10.9708,0.2717,0.4920,84.8135,19.0211,58.9134,62,9.7391,0.0061,0.1622,12,chill,0,3,0,6,0,2025-07-02T21:31:53.285571
80.7700,0.0482,16.3007,104.0000,7.4672,0.4822,0.4282,83.9656,23.7363,58.1912,63,10.7761,0.0145,0.7165,8,chill,1,3,0,6,0,2025-07-02T21:31:53.451140
